ref,state,constituency,won status,votes,(votes),Name,Party Name
8018,Andhra Pradesh,Araku (ST)(1),,50470,( -426535),NOTA,None of the Above
8019,Andhra Pradesh,Chittoor(SC)(25),won,778071,(+ 220479),DAGGUMALLA PRASADA RAO,Telugu Desam
8020,Andhra Pradesh,Chittoor(SC)(25),lost,557592,( -220479),REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party
8021,Andhra Pradesh,Chittoor(SC)(25),lost,30150,( -747921),MOTUKUR JAGAPATHI,Indian National Congress
8022,Andhra Pradesh,Chittoor(SC)(25),lost,13511,( -764560),THOGURU VIJAYA KUMAR,Bahujan Samaj Party
8023,Andhra Pradesh,Chittoor(SC)(25),lost,6973,( -771098),YUGANDAR . KONDA,Independent
8024,Andhra Pradesh,Chittoor(SC)(25),lost,3956,( -774115),K.MUNI KRISHNA,Independent
8025,Andhra Pradesh,Chittoor(SC)(25),lost,2833,( -775238),P.JANAKI RAMA RAO ( BABU),National Maha Sabha Party
8026,Andhra Pradesh,Chittoor(SC)(25),lost,2366,( -775705),PETA.MOHAN .,Independent
8027,Andhra Pradesh,Chittoor(SC)(25),lost,1935,( -776136),C.SUDHAKAR,Independent
8028,Andhra Pradesh,Chittoor(SC)(25),lost,1885,( -776186),N.CHANDRABABU,Independent
8029,Andhra Pradesh,Chittoor(SC)(25),lost,1578,( -776493),MADASI SUDHARSHAN,Independent
8030,Andhra Pradesh,Chittoor(SC)(25),lost,1119,( -776952),D.MAHESH,Independent
8031,Andhra Pradesh,Chittoor(SC)(25),lost,906,( -777165),P.MADHU,Independent
8032,Andhra Pradesh,Chittoor(SC)(25),lost,894,( -777177),N.BHUPATHI,Independent
8033,Andhra Pradesh,Chittoor(SC)(25),lost,857,( -777214),A. PURNA CHANDRA,Independent
8034,Andhra Pradesh,Chittoor(SC)(25),lost,676,( -777395),PALLIPATTU.ABHINAV VISHNU,Samajwadi Party
8035,Andhra Pradesh,Chittoor(SC)(25),lost,552,( -777519),N.GANGAIAH .,Independent
8036,Andhra Pradesh,Chittoor(SC)(25),lost,534,( -777537),T NARESH,Independent
8037,Andhra Pradesh,Chittoor(SC)(25),lost,493,( -777578),BANDAPALLI RAMESH,Independent
8038,Andhra Pradesh,Chittoor(SC)(25),,11976,( -766095),NOTA,None of the Above
8039,Andhra Pradesh,Nellore(22),won,766202,(+ 245902),PRABHAKAR REDDY VEMIREDDY,Telugu Desam
8040,Andhra Pradesh,Nellore(22),lost,520300,( -245902),VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party
8041,Andhra Pradesh,Nellore(22),lost,54844,( -711358),KOPPULA RAJU,Indian National Congress
8042,Andhra Pradesh,Nellore(22),lost,5811,( -760391),BHASKAR NASINA,Bahujan Samaj Party
8043,Andhra Pradesh,Nellore(22),lost,2804,( -763398),VIVEKA MANNEPALLI,Revolutionary Socialist Party
8044,Andhra Pradesh,Nellore(22),lost,2015,( -764187),KOPPALA RAGHU,Independent
8045,Andhra Pradesh,Nellore(22),lost,1779,( -764423),GAJULA SOMA SEKHAR,Jai Bharat National Party
8046,Andhra Pradesh,Nellore(22),lost,1330,( -764872),SHAIK MUZIBUR RAHAMAN,Pyramid Party of India
8047,Andhra Pradesh,Nellore(22),lost,1233,( -764969),SHAIK MAHABOOB BASHA (MABU),Republican Party of India (A)
8048,Andhra Pradesh,Nellore(22),lost,1105,( -765097),MALLEPALLY RAGHU,Navarang Congress Party
8049,Andhra Pradesh,Nellore(22),lost,1037,( -765165),SHAIK SHAFI AHMED,All India Forward Bloc
8050,Andhra Pradesh,Nellore(22),lost,600,( -765602),NAKKA DINESH,Bharatha Chaitanya Yuvajana Party
8051,Andhra Pradesh,Nellore(22),lost,558,( -765644),TALARI VENKATAIAH,Jaibhim Rao Bharat Party
8052,Andhra Pradesh,Nellore(22),lost,454,( -765748),PUNGANURU PRASANNA GANAPATHI,Radical Party of India (Ambedkarist)
8053,Andhra Pradesh,Nellore(22),,15577,( -750625),NOTA,None of the Above
8054,Andhra Pradesh,Hindupur(20),won,725534,(+ 132427),B K PARTHASARATHI,Telugu Desam
8055,Andhra Pradesh,Hindupur(20),lost,593107,( -132427),J SHANTHA,Yuvajana Sramika Rythu Congress Party
8056,Andhra Pradesh,Hindupur(20),lost,55059,( -670475),B A SAMAD SHAHEEN,Indian National Congress
8057,Andhra Pradesh,Hindupur(20),lost,8015,( -717519),BHAGYA R S,Bahujan Samaj Party
8058,Andhra Pradesh,Hindupur(20),lost,5444,( -720090),PRATHAP REDDY GORLA,Independent
8059,Andhra Pradesh,Hindupur(20),lost,2278,( -723256),H D HANUMANTHE GOWD,Independent
8060,Andhra Pradesh,Hindupur(20),lost,2051,( -723483),ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party
8061,Andhra Pradesh,Hindupur(20),lost,1631,( -723903),S N SURESH,Independent
8062,Andhra Pradesh,Hindupur(20),lost,1328,( -724206),DASAGANIPALLI KULLAYAPPA,Independent
8063,Andhra Pradesh,Hindupur(20),lost,1292,( -724242),ASHOK,Socialist Unity Centre Of India (COMMUNIST)
8064,Andhra Pradesh,Hindupur(20),lost,1237,( -724297),T SUDHAKAR REDDY,Independent
8065,Andhra Pradesh,Hindupur(20),lost,710,( -724824),S RAGHUNATHA REDDY,Independent
8066,Andhra Pradesh,Hindupur(20),lost,682,( -724852),BUDILI DHANUNJAYA,National Nava Kranthi Party
8067,Andhra Pradesh,Hindupur(20),,17971,( -707563),NOTA,None of the Above
8068,Andhra Pradesh,Ananthapur(19),won,768245,(+ 188555),AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam
8069,Andhra Pradesh,Ananthapur(19),lost,579690,( -188555),MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party
8070,Andhra Pradesh,Ananthapur(19),lost,43217,( -725028),MALLIKARJUNA VAJJALA,Indian National Congress
8071,Andhra Pradesh,Ananthapur(19),lost,6439,( -761806),G.V.RAMANA REDDY,Independent
8072,Andhra Pradesh,Ananthapur(19),lost,6396,( -761849),BANASI NARAYANAPPA,Bahujan Samaj Party
8073,Andhra Pradesh,Ananthapur(19),lost,5778,( -762467),V.MURALI PRASAD REDDY,Independent
8074,Andhra Pradesh,Ananthapur(19),lost,4989,( -763256),DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi
8075,Andhra Pradesh,Ananthapur(19),lost,2935,( -765310),M.SURENDRA,Pyramid Party of India
8076,Andhra Pradesh,Ananthapur(19),lost,2540,( -765705),U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party
8077,Andhra Pradesh,Ananthapur(19),lost,1518,( -766727),P.CHOWDESWARI,Independent
8078,Andhra Pradesh,Ananthapur(19),lost,1494,( -766751),VADLA KESAVAIAH,Independent
8079,Andhra Pradesh,Ananthapur(19),lost,1318,( -766927),B.RAGHAVENDRA PRASAD,Independent
8080,Andhra Pradesh,Ananthapur(19),lost,1091,( -767154),LOKANATH GOWD SURAGOWINI,Independent
8081,Andhra Pradesh,Ananthapur(19),lost,1091,( -767154),KETHIREDDY RAGHUNATHAREDDY,Independent
8082,Andhra Pradesh,Ananthapur(19),lost,904,( -767341),SREERANGARAJULA GOPINATH ROYAL,Independent
8083,Andhra Pradesh,Ananthapur(19),lost,753,( -767492),SHAIK.NIZAM,Samajwadi Party
8084,Andhra Pradesh,Ananthapur(19),lost,745,( -767500),RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party
8085,Andhra Pradesh,Ananthapur(19),lost,578,( -767667),KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party
8086,Andhra Pradesh,Ananthapur(19),lost,570,( -767675),B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST)
8087,Andhra Pradesh,Ananthapur(19),lost,494,( -767751),SRINIVASA RAJU.O,Bhartiya Panchyat Party
8088,Andhra Pradesh,Ananthapur(19),lost,444,( -767801),DURGA PRASAD D BYATARAYANAJI,Challengers Party
8089,Andhra Pradesh,Ananthapur(19),,9199,( -759046),NOTA,None of the Above
8090,Andhra Pradesh,Kurnoolu(18),won,658914,(+ 111298),BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam
8091,Andhra Pradesh,Kurnoolu(18),lost,547616,( -111298),B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party
8092,Andhra Pradesh,Kurnoolu(18),lost,70373,( -588541),P.G.RAMPULLAIAH YADAV LUCKY-2,Indian National Congress
8093,Andhra Pradesh,Kurnoolu(18),lost,8589,( -650325),MANCHALA LAKSHMI NARAYANA,Bahujan Samaj Party
8094,Andhra Pradesh,Kurnoolu(18),lost,5900,( -653014),BOYA SURESH,Independent
8095,Andhra Pradesh,Kurnoolu(18),lost,5127,( -653787),T. BEECHUPALLI,Independent
8096,Andhra Pradesh,Kurnoolu(18),lost,3508,( -655406),VIJAYA BHASKAR .REDDYPOGU,Independent
8097,Andhra Pradesh,Kurnoolu(18),lost,3076,( -655838),PAGADALA KODANDA,Independent
8098,Andhra Pradesh,Kurnoolu(18),lost,2582,( -656332),DEVARAPOGU MADDILETY,Independent
8099,Andhra Pradesh,Kurnoolu(18),lost,2225,( -656689),PRAKASH REDDY RALAMPADU,Independent
8100,Andhra Pradesh,Kurnoolu(18),lost,2074,( -656840),JAHANGIR AHMED,Social Democratic Party Of India
8101,Andhra Pradesh,Kurnoolu(18),lost,1856,( -657058),DR. REDDYPOGU PRAVEEN KUMAR,Independent
8102,Andhra Pradesh,Kurnoolu(18),lost,1601,( -657313),ABDUL SATTAR  A.S.R,Anna YSR Congress Party
8103,Andhra Pradesh,Kurnoolu(18),lost,1390,( -657524),VALMIKI ARJUNA,Bharatha Chaitanya Yuvajana Party
8104,Andhra Pradesh,Kurnoolu(18),lost,1295,( -657619),URUKUNDU VADDE,Independent
8105,Andhra Pradesh,Kurnoolu(18),lost,1164,( -657750),MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST)
8106,Andhra Pradesh,Kurnoolu(18),lost,1163,( -657751),SUNKARA SREEDHAR,Jai Bharat National Party
8107,Andhra Pradesh,Kurnoolu(18),lost,1033,( -657881),TARIGOPULA RAJABABU,All Peoples Party
8108,Andhra Pradesh,Kurnoolu(18),lost,783,( -658131),AMRUTH KUMAR SALKAPURAM,Liberation Congress Party
8109,Andhra Pradesh,Kurnoolu(18),,10511,( -648403),NOTA,None of the Above
8110,Assam,Kokrajhar (1),won,488995,(+ 51583),JOYANTA BASUMATARY,"United People’s Party, Liberal"
8111,Assam,Kokrajhar (1),lost,437412,( -51583),KAMPA BORGOYARI,Bodoland Peoples Front
8112,Assam,Kokrajhar (1),lost,113736,( -375259),GARJAN MASHAHARY,Indian National Congress
8113,Assam,Kokrajhar (1),lost,94189,( -394806),BINITA DEKA,Gana Suraksha Party
8114,Assam,Kokrajhar (1),lost,33737,( -455258),PRITHVIRAJ NARAYAN DEV MECH,Independent
8115,Assam,Kokrajhar (1),lost,23519,( -465476),GAURI SANKAR SARANIA,All India Trinamool Congress
8116,Assam,Kokrajhar (1),lost,8830,( -480165),RANJAY KR BRAHMA,Independent
8117,Assam,Kokrajhar (1),lost,7932,( -481063),LALIT PEGU,Voters Party  International
8118,Assam,Kokrajhar (1),lost,6106,( -482889),JYOTISH KUMAR DAS,Independent
8119,Assam,Kokrajhar (1),lost,4540,( -484455),TRIPTINA RABHA,Independent
8120,Assam,Kokrajhar (1),lost,4508,( -484487),PANKAJ ISLARY,Independent
8121,Assam,Kokrajhar (1),lost,4080,( -484915),AJOY NARZARY,Independent
8122,Assam,Kokrajhar (1),,13912,( -475083),NOTA,None of the Above
8123,Assam,Jorhat(14),won,751771,(+ 144393),GAURAV GOGOI,Indian National Congress
8124,Assam,Jorhat(14),lost,607378,( -144393),TOPON KUMAR GOGOI,Bharatiya Janata Party
8125,Assam,Jorhat(14),lost,9086,( -742685),ARUN CHANDRA HANDIQUE,Ekam Sanatan Bharat Dal
8126,Assam,Jorhat(14),lost,8370,( -743401),RAJ KUMAR DUWARA,Independent
8127,Assam,Jorhat(14),,14555,( -737216),NOTA,None of the Above
8128,Assam,Dibrugarh(13),won,693762,(+ 279321),SARBANANDA SONOWAL,Bharatiya Janata Party
8129,Assam,Dibrugarh(13),lost,414441,( -279321),LURINJYOTI GOGOI,Assam Jatiya Parishad
8130,Assam,Dibrugarh(13),lost,137864,( -555898),MANOJ DHANOWAR,Aam Aadmi Party
8131,Assam,Dibrugarh(13),,32255,( -661507),NOTA,None of the Above
8132,Bihar,Nawada(39),won,410608,(+ 67670),VIVEK THAKUR,Bharatiya Janata Party
8133,Bihar,Nawada(39),lost,342938,( -67670),SHRAWAN KUMAR,Rashtriya Janata Dal
8134,Bihar,Nawada(39),lost,39519,( -371089),BINOD YADAV,Independent
8135,Bihar,Nawada(39),lost,29682,( -380926),GUNJAN KUMAR,Independent
8136,Bihar,Nawada(39),lost,16316,( -394292),RANJIT KUMAR,Bahujan Samaj Party
8137,Bihar,Nawada(39),lost,7736,( -402872),ANAND KUMAR VERMA,Bharat Jan Jagran Dal
8138,Bihar,Nawada(39),lost,5889,( -404719),GAUTAM KUMAR BABLOO,Bhagidari Party(P)
8139,Bihar,Nawada(39),lost,4590,( -406018),GANAURI PANDIT,Peoples Party of India (Democratic)
8140,Bihar,Nawada(39),,12592,( -398016),NOTA,None of the Above
8141,Bihar,Nalanda(29),won,559422,(+ 169114),KAUSHALENDRA KUMAR,Janata Dal  (United)
8142,Bihar,Nalanda(29),lost,390308,( -169114),DR. SANDEEP SAURAV,Communist Party of India  (Marxist-Leninist)  (Liberation)
8143,Bihar,Nalanda(29),lost,25291,( -534131),SUDHIR KUMAR,Sanyukt Kisan Vikas Party
8144,Bihar,Nalanda(29),lost,18576,( -540846),SURENDRA PRASAD,Al-Hind Party
8145,Bihar,Nalanda(29),lost,18480,( -540942),SHASHI KUMAR,Samaj Shakti Party
8146,Bihar,Nalanda(29),lost,15332,( -544090),PRAMOD KUMAR NIRALA,Bahujan Samaj Party
8147,Bihar,Nalanda(29),lost,14750,( -544672),AJEET KUMAR,Independent
8148,Bihar,Nalanda(29),lost,9602,( -549820),VINAY PRATAP SINGH,Rashtriya Sanatan Party
8149,Bihar,Nalanda(29),lost,7887,( -551535),SANJAY RAJESH,Karpoori Janta Dal
8150,Bihar,Nalanda(29),lost,6806,( -552616),SUDHIR DAS,Independent
8151,Bihar,Nalanda(29),lost,6692,( -552730),KANHAIYA LAL YADAV,Jagrook Janta Party
8152,Bihar,Nalanda(29),lost,6238,( -553184),SANYUKTA KUMARI,Independent
8153,Bihar,Nalanda(29),lost,5520,( -553902),AJIT KUMAR,Independent
8154,Bihar,Nalanda(29),lost,3932,( -555490),SHYAM SUNDAR PRASAD,Independent
8155,Bihar,Nalanda(29),lost,3845,( -555577),RAMESH KUMAR,Naki Bharatiya Ekta Party
8156,Bihar,Nalanda(29),lost,3602,( -555820),KISLAY KUMAR,Independent
8157,Bihar,Nalanda(29),lost,3387,( -556035),KESHO JAMADAR,Peoples Party of India (Democratic)
8158,Bihar,Nalanda(29),lost,3345,( -556077),SURENDER SINGH,Independent
8159,Bihar,Nalanda(29),lost,2729,( -556693),DILIP KUMAR,Moolniwasi Samaj Party
8160,Bihar,Nalanda(29),lost,2468,( -556954),NAND KISHOR PARASAD,Pragatisheel Magahi Samaj
8161,Bihar,Nalanda(29),lost,2415,( -557007),NISHA RANJAN,Samata Party
8162,Bihar,Nalanda(29),lost,2340,( -557082),SHASHIRANJAN SUMAN,Independent
8163,Bihar,Nalanda(29),lost,2110,( -557312),GHANSHYAM PRASAD SINGH,Independent
8164,Bihar,Nalanda(29),lost,1980,( -557442),KUMAR HARI CHARAN SINGH YADAV,Bharatiya Momin Front
8165,Bihar,Nalanda(29),lost,1949,( -557473),MUNNA KUMAR,Sankhyanupati Bhagidari Party
8166,Bihar,Nalanda(29),lost,1880,( -557542),MUNNA KUMAR,Samajwadi Lok Parishad
8167,Bihar,Nalanda(29),lost,1597,( -557825),PAWAN KUMAR,Independent
8168,Bihar,Nalanda(29),lost,1505,( -557917),PUJA DEVI,Independent
8169,Bihar,Nalanda(29),lost,1178,( -558244),CHANDRA KISHOR PRASAD YADAV,Independent
8170,Bihar,Nalanda(29),,19217,( -540205),NOTA,None of the Above
8171,Bihar,Munger(28),won,550146,(+ 80870),RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United)
8172,Bihar,Munger(28),lost,469276,( -80870),KUMARI ANITA,Rashtriya Janata Dal
8173,Bihar,Munger(28),lost,21023,( -529123),SHANKAR PRASAD BIND,Independent
8174,Bihar,Munger(28),lost,15731,( -534415),PRIYADARSHI PIYUSH,Independent
8175,Bihar,Munger(28),lost,13825,( -536321),A. K. SINGH ‘ASHOK’,Independent
8176,Bihar,Munger(28),lost,12280,( -537866),KUMAR NAVNEET HIMANSHU,Bahujan Samaj Party
8177,Bihar,Munger(28),lost,9486,( -540660),KULDIP YADAV,Hindustan People's Party (Democratic)
8178,Bihar,Munger(28),lost,7507,( -542639),NEETISH KUMAR,Independent
8179,Bihar,Munger(28),lost,5375,( -544771),PRAVAL KUMAR,Independent
8180,Bihar,Munger(28),lost,4913,( -545233),RAVINDRA MANDAL,Socialist Unity Centre Of India (COMMUNIST)
8181,Bihar,Munger(28),lost,4140,( -546006),ADITYA SINGH MADHUKAR,Independent
8182,Bihar,Munger(28),lost,3428,( -546718),PANKAJ KUMAR,Independent
8183,Bihar,Munger(28),,21951,( -528195),NOTA,None of the Above
8184,Bihar,Banka(27),won,506678,(+ 103844),GIRIDHARI YADAV,Janata Dal  (United)
8185,Bihar,Banka(27),lost,402834,( -103844),JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal
8186,Bihar,Banka(27),lost,14939,( -491739),NARESH YADAV,Independent
8187,Bihar,Banka(27),lost,12277,( -494401),JAY PRAKASH YADAV,Rashtriya Jansambhavna Party
8188,Bihar,Banka(27),lost,9670,( -497008),AMRIT TANTI,Bhartiya Dalit Party
8189,Bihar,Banka(27),lost,8125,( -498553),NARESH KUMAR PRIYADARSHI,Independent
8190,Bihar,Banka(27),lost,7645,( -499033),GANESH KUMAR KUSHAWAHA,Samata Party
8191,Bihar,Banka(27),lost,6911,( -499767),UTTAM KUMAR SINGH,Aam Janta Party Rashtriya
8192,Bihar,Banka(27),lost,5246,( -501432),KAVINDRA PANDIT,Socialist Unity Centre Of India (COMMUNIST)
8193,Bihar,Banka(27),lost,4941,( -501737),UMAKANT YADAV,Independent
8194,Bihar,Banka(27),,34889,( -471789),NOTA,None of the Above
8195,Bihar,Bhagalpur(26),won,536031,(+ 104868),AJAY KUMAR MANDAL,Janata Dal  (United)
8196,Bihar,Bhagalpur(26),lost,431163,( -104868),AJEET SHARMA,Indian National Congress
8197,Bihar,Bhagalpur(26),lost,12646,( -523385),POONAM SINGH,Bahujan Samaj Party
8198,Bihar,Bhagalpur(26),lost,12258,( -523773),HARERAM YADAV,Independent
8199,Bihar,Bhagalpur(26),lost,7670,( -528361),DEEPAK KUMAR SINGH,Rashtriya Jansambhavna Party
8200,Bihar,Bhagalpur(26),lost,6683,( -529348),CHHOTE LAL KUMAR,Independent
8201,Bihar,Bhagalpur(26),lost,6634,( -529397),RAMESH TUDU,Independent
8202,Bihar,Bhagalpur(26),lost,5126,( -530905),UMESH PRASAD YADAV,Peoples Party of India (Democratic)
8203,Bihar,Bhagalpur(26),lost,3763,( -532268),DEEPAK KUMAR,Socialist Unity Centre Of India (COMMUNIST)
8204,Bihar,Bhagalpur(26),lost,3681,( -532350),MUKESH KUMAR,Akhil Bhartiya Parivar Party
8205,Bihar,Bhagalpur(26),lost,3519,( -532512),DAYARAM MANDAL,Lok Sewa Dal
8206,Bihar,Bhagalpur(26),lost,3104,( -532927),OM PRAKASH PODDAR,Independent
8207,Bihar,Bhagalpur(26),,31803,( -504228),NOTA,None of the Above
8208,Bihar,Siwan(18),won,386508,(+ 92857),VIJAYLAKSHMI DEVI,Janata Dal  (United)
8209,Bihar,Siwan(18),lost,293651,( -92857),HENA SHAHAB,Independent
8210,Bihar,Siwan(18),lost,198823,( -187685),AWADH BIHARI CHOUDHARY,Rashtriya Janata Dal
8211,Bihar,Siwan(18),lost,21565,( -364943),SATYENDRA KUSHWAHA,Independent
8212,Bihar,Siwan(18),lost,18590,( -367918),JEEWAN KUMAR,Independent
8213,Bihar,Siwan(18),lost,12112,( -374396),DILIP KU SINGH,Bahujan Samaj Party
8214,Bihar,Siwan(18),lost,8879,( -377629),SANJAY KUMAR SAH,Bhartiya Lok Nayak Party
8215,Bihar,Siwan(18),lost,8693,( -377815),DR. RAVINDRA NATH SHUKLA,Independent
8216,Bihar,Siwan(18),lost,6181,( -380327),DEVKANT MISHRA,Independent
8217,Bihar,Siwan(18),lost,5668,( -380840),PRAMOD KUMAR,Independent
8218,Bihar,Siwan(18),lost,4509,( -381999),PRAKASH MANI TIWARI,Independent
8219,Bihar,Siwan(18),lost,3922,( -382586),MAHENDRA SINGH ALIAS MAHENDRA RAI,Independent
8220,Bihar,Siwan(18),lost,1953,( -384555),DILIP KUMAR SINGH,Independent
8221,Bihar,Siwan(18),,26964,( -359544),NOTA,None of the Above
8222,Bihar,Gopalganj(17),won,511866,(+ 127180),DR. ALOK KUMAR SUMAN,Janata Dal  (United)
8223,Bihar,Gopalganj(17),lost,384686,( -127180),PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party
8224,Bihar,Gopalganj(17),lost,29992,( -481874),DINANATH MANJHI,All India Majlis-E-Ittehadul Muslimeen
8225,Bihar,Gopalganj(17),lost,29272,( -482594),SUJEET KUMAR RAM,Bahujan Samaj Party
8226,Bihar,Gopalganj(17),lost,13002,( -498864),ANIL RAM,Independent
8227,Bihar,Gopalganj(17),lost,12269,( -499597),SATYENDRA BAITHA,Independent
8228,Bihar,Gopalganj(17),lost,11140,( -500726),BHOLA HARIJAN,Independent
8229,Bihar,Gopalganj(17),lost,8540,( -503326),RAM KUMAR MANJHI,Gana Suraksha Party
8230,Bihar,Gopalganj(17),lost,6716,( -505150),NAMI RAM,Independent
8231,Bihar,Gopalganj(17),lost,6712,( -505154),SURENDRA RAM,Bhartiya Rashtriya Dal
8232,Bihar,Gopalganj(17),lost,5969,( -505897),JITENDRA RAM,Bahujan Mukti Party
8233,Bihar,Gopalganj(17),,42863,( -469003),NOTA,None of the Above
8234,Bihar,Madhepura(13),won,640649,(+ 174534),DINESH CHANDRA YADAV,Janata Dal  (United)
8235,Bihar,Madhepura(13),lost,466115,( -174534),DA KUMAR CHANDRADEEP,Rashtriya Janata Dal
8236,Bihar,Madhepura(13),lost,15434,( -625215),SURESHWAR PODDAR,Aadarsh Mithila Party
8237,Bihar,Madhepura(13),lost,12991,( -627658),MD ARSHAD HUSSAIN,Bahujan Samaj Party
8238,Bihar,Madhepura(13),lost,11322,( -629327),JAWAHAR LAL JAISWAL,Socialist Unity Centre Of India (COMMUNIST)
8239,Bihar,Madhepura(13),lost,11149,( -629500),UCHESHWAR PANDIT,Samajhdar Party
8240,Bihar,Madhepura(13),lost,10674,( -629975),PRO KAMESHWAR YADAV,Bharatiya Jan Kranti Dal (Democratic)
8241,Bihar,Madhepura(13),lost,8736,( -631913),AJABLAL MEHTA,Yuva Krantikari Party
8242,Bihar,Madhepura(13),,32625,( -608024),NOTA,None of the Above
8243,Bihar,Supaul(8),won,595038,(+ 169803),DILESHWAR KAMAIT,Janata Dal  (United)
8244,Bihar,Supaul(8),lost,425235,( -169803),CHANDRAHAS CHAUPAL,Rashtriya Janata Dal
8245,Bihar,Supaul(8),lost,51652,( -543386),BAIDYA NATH MEHTA,Independent
8246,Bihar,Supaul(8),lost,27454,( -567584),YOG NARAYAN SINGH,Independent
8247,Bihar,Supaul(8),lost,18457,( -576581),VINDESHWARI PRASAD,Independent
8248,Bihar,Supaul(8),lost,18079,( -576959),KIRAN DEVI,Bahujan Samaj Party
8249,Bihar,Supaul(8),lost,14078,( -580960),MOHD KALIM KHAN,Rashtriya Jansambhavna Party
8250,Bihar,Supaul(8),lost,13014,( -582024),UMESH PRASAD SAH,Jai Hind Party
8251,Bihar,Supaul(8),lost,10806,( -584232),RAJ KUMAR YADAV,Viro Ke Vir Indian Party
8252,Bihar,Supaul(8),lost,9451,( -585587),RAMESH KUMAR ANAND,"Proutist Bloc, India"
8253,Bihar,Supaul(8),lost,7194,( -587844),ABDUL MATIN,Independent
8254,Bihar,Supaul(8),lost,7006,( -588032),BAMBAM KUMAR,Independent
8255,Bihar,Supaul(8),lost,5915,( -589123),NITISH KUMAR,Independent
8256,Bihar,Supaul(8),lost,5351,( -589687),AJAY KUMAR SAH,Independent
8257,Bihar,Supaul(8),lost,3772,( -591266),SHIV HARI AGRAWAL,Bharat Nirman Party
8258,Bihar,Supaul(8),,18612,( -576426),NOTA,None of the Above
8259,Bihar,Jhanjharpur(7),won,533032,(+ 184169),RAMPRIT MANDAL,Janata Dal  (United)
8260,Bihar,Jhanjharpur(7),lost,348863,( -184169),SUMAN KUMAR MAHASETH,Vikassheel Insaan Party
8261,Bihar,Jhanjharpur(7),lost,73884,( -459148),GULAB YADAV,Bahujan Samaj Party
8262,Bihar,Jhanjharpur(7),lost,26010,( -507022),RAM PRASAD RAUT,Independent
8263,Bihar,Jhanjharpur(7),lost,18074,( -514958),GANGA PRASAD YADAV,Independent
8264,Bihar,Jhanjharpur(7),lost,14325,( -518707),GAURI SHANKAR SAHU,Independent
8265,Bihar,Jhanjharpur(7),lost,12513,( -520519),RAJIV KUMAR JHA,Independent
8266,Bihar,Jhanjharpur(7),lost,11673,( -521359),BABLU KUMAR,Aadarsh Mithila Party
8267,Bihar,Jhanjharpur(7),lost,10862,( -522170),VIDYA NAND RAM,Wazib Adhikar Party
8268,Bihar,Jhanjharpur(7),lost,8577,( -524455),VIJAY KUMAR MANDAL,Socialist Unity Centre Of India (COMMUNIST)
8269,Bihar,Jhanjharpur(7),,35928,( -497104),NOTA,None of the Above
8270,Bihar,Sitamarhi(5),won,515719,(+ 51356),DEVESH CHANDRA THAKUR,Janata Dal  (United)
8271,Bihar,Sitamarhi(5),lost,464363,( -51356),ARJUN RAY,Rashtriya Janata Dal
8272,Bihar,Sitamarhi(5),lost,28912,( -486807),SAIQUA NAWAZ AZMAT,Independent
8273,Bihar,Sitamarhi(5),lost,11188,( -504531),SHYAM NANDAN KISHOR PRASAD,Independent
